match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1001349,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,Melbourne Cricket Ground,Sri Lanka,field,Sri Lanka,T20,completed
1001351,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,Sri Lanka,T20,completed
1001353,2017-02-22,Australia,Sri Lanka,Adelaide Oval,Adelaide Oval,Sri Lanka,field,Australia,T20,completed
1004729,2016-09-05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,bat,Hong Kong,T20,completed
1007655,2016-06-18,Zimbabwe,India,Harare Sports Club,Harare Sports Club,India,field,Zimbabwe,T20,completed
1007657,2016-06-20,Zimbabwe,India,Harare Sports Club,Harare Sports Club,Zimbabwe,bat,India,T20,completed
1007659,2016-06-22,Zimbabwe,India,Harare Sports Club,Harare Sports Club,Zimbabwe,field,India,T20,completed
1019979,2017-01-03,New Zealand,Bangladesh,McLean Park,Napier,Bangladesh,bat,New Zealand,T20,completed
1019981,2017-01-06,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,T20,completed
1019983,2017-01-08,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,T20,completed
1020029,2017-02-17,New Zealand,South Africa,Eden Park,Auckland,New Zealand,field,South Africa,T20,completed
1031431,2017-06-21,England,South Africa,The Rose Bowl,Southampton,South Africa,bat,England,T20,completed
1031433,2017-06-23,England,South Africa,County Ground,Taunton,England,field,South Africa,T20,completed
1031435,2017-06-25,England,South Africa,Sophia Gardens,Cardiff,South Africa,field,England,T20,completed
1031665,2017-09-16,West Indies,England,Riverside Ground,Chester-le-Street,England,field,West Indies,T20,completed
1034825,2017-01-26,India,England,Green Park,Kanpur,England,field,England,T20,completed
1034827,2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,England,field,India,T20,completed
1034829,2017-02-01,India,England,M Chinnaswamy Stadium,Bangalore,England,field,India,T20,completed
1041615,2016-08-27,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,West Indies,T20,completed
1050217,2016-09-23,Pakistan,West Indies,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Pakistan,field,Pakistan,T20,completed
1050219,2016-09-24,Pakistan,West Indies,Dubai International Cricket Stadium,Dubai International Cricket Stadium,West Indies,field,Pakistan,T20,completed
1050221,2016-09-27,Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan,T20,completed
1072316,2018-02-03,New Zealand,Australia,Sydney Cricket Ground,Sydney Cricket Ground,Australia,field,Australia,T20,completed
1072317,2018-02-07,England,Australia,Bellerive Oval,Hobart,Australia,field,Australia,T20,completed
1072318,2018-02-10,England,Australia,Melbourne Cricket Ground,Melbourne Cricket Ground,Australia,field,Australia,T20,completed
1072319,2018-02-13,New Zealand,England,Westpac Stadium,Wellington,England,field,New Zealand,T20,completed
1072320,2018-02-16,New Zealand,Australia,Eden Park,Auckland,New Zealand,bat,Australia,T20,completed
1072321,2018-02-18,England,New Zealand,Seddon Park,Hamilton,New Zealand,field,England,T20,completed
1072322,2018-02-21,New Zealand,Australia,Eden Park,Auckland,New Zealand,bat,Australia,T20,completed
1074957,2017-01-14,Hong Kong,Scotland,Sheikh Zayed Stadium,Abu Dhabi,Scotland,bat,Scotland,T20,completed
1074959,2017-01-15,Netherlands,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,bat,Netherlands,T20,completed
1074961,2017-01-16,Hong Kong,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Oman,T20,completed
1074964,2017-01-17,Netherlands,Scotland,Sheikh Zayed Stadium,Abu Dhabi,Netherlands,field,Scotland,T20,completed
1074965,2017-01-18,United Arab Emirates,Ireland,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Ireland,bat,Ireland,T20,completed
1074966,2017-01-18,Hong Kong,Netherlands,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Hong Kong,bat,Hong Kong,T20,completed
1074968,2017-01-19,Oman,Scotland,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Oman,bat,Scotland,T20,completed
1074970,2017-01-20,Ireland,Scotland,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Scotland,field,Ireland,T20,completed
1075507,2017-10-26,South Africa,Bangladesh,Mangaung Oval,Bloemfontein,South Africa,bat,South Africa,T20,completed
1075508,2017-10-29,South Africa,Bangladesh,Senwes Park,Potchefstroom,Bangladesh,field,South Africa,T20,completed
1077947,2017-03-26,West Indies,Pakistan,"Kensington Oval, Bridgetown",Barbados,Pakistan,field,Pakistan,T20,completed
1077948,2017-03-30,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,Pakistan,T20,completed
1083449,2017-04-04,Sri Lanka,Bangladesh,R Premadasa Stadium,Colombo,Bangladesh,bat,Sri Lanka,T20,completed
