match_id,date,team1,team2,venue,team1_elo,team2_elo,elo_difference,team1_win_rate_last3,team2_win_rate_last3,team1_win_rate_last5,team2_win_rate_last5,team1_win_rate_last10,team2_win_rate_last10,win_rate_diff_last5,win_rate_diff_last10,team1_avg_runs_last5,team2_avg_runs_last5,team1_avg_conc_last5,team2_avg_conc_last5,net_runs_diff5,team1_h2h_win_rate,h2h_matches_before,venue_avg_first_innings_score,venue_batting_first_win_rate,venue_matches_before,team1_ven_win_rate,team2_ven_win_rate,team1_toss_won,team1_won
211048,2005-02-17,New Zealand,Australia,Eden Park,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,145.0,145.0,145.0,145.0,0.0,0.5,0,145.0,0.5,0,0.5,0.5,0.0,0
211028,2005-06-13,England,Australia,The Rose Bowl,1500.0,1514.0,-14.0,0.5,1.0,0.5,1.0,0.5,1.0,-0.5,-0.5,145.0,214.0,145.0,170.0,-44.0,0.5,0,145.0,0.5,0,0.5,0.5,1.0,1
222678,2005-10-21,South Africa,New Zealand,New Wanderers Stadium,1500.0,1486.0,14.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,145.0,170.0,145.0,214.0,44.0,0.5,0,145.0,0.5,0,0.5,0.5,0.0,0
226374,2006-01-09,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",1499.44,1485.44,14.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,146.5,133.0,174.5,134.0,-27.0,0.5,0,145.0,0.5,0,0.5,0.5,1.0,1
238195,2006-02-24,South Africa,Australia,New Wanderers Stadium,1472.0,1512.87,-40.87,0.0,0.6667,0.0,0.6667,0.0,0.6667,-0.6667,-0.6667,123.5,167.33,171.5,154.33,-61.0,0.0,1,145.0,0.5,0,0.5,0.5,1.0,1
225271,2006-06-15,England,Sri Lanka,The Rose Bowl,1514.56,1500.0,14.56,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,179.0,145.0,79.0,145.0,100.0,0.5,0,145.0,0.5,0,0.5,0.5,0.0,0
225263,2006-08-28,England,Pakistan,County Ground,1499.98,1500.0,-0.02,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,170.0,145.0,121.0,145.0,49.0,0.5,0,145.0,0.5,0,0.5,0.5,1.0,0
255954,2006-12-01,South Africa,India,New Wanderers Stadium,1487.64,1500.0,-12.36,0.3333,0.5,0.3333,0.5,0.3333,0.5,-0.1667,-0.1667,149.33,145.0,180.67,145.0,-31.33,0.5,0,145.0,0.5,0,0.5,0.5,1.0,0
251487,2006-12-22,New Zealand,Sri Lanka,Westpac Stadium,1500.56,1514.59,-14.02,0.5,1.0,0.5,1.0,0.5,1.0,-0.5,-0.5,152.0,163.0,173.5,161.0,-23.5,0.5,0,145.0,0.5,0,0.5,0.5,1.0,0
251488,2006-12-26,New Zealand,Sri Lanka,Eden Park,1487.13,1528.02,-40.89,0.3333,1.0,0.3333,1.0,0.3333,1.0,-0.6667,-0.6667,155.33,112.5,136.33,161.5,68.0,0.0,1,145.0,0.5,0,0.5,0.5,1.0,1
249227,2007-01-09,Australia,England,Sydney Cricket Ground,1497.23,1485.98,11.25,0.3333,0.3333,0.5,0.3333,0.5,0.3333,0.1667,0.1667,175.25,161.33,166.0,130.0,-22.08,0.0,1,145.0,0.5,0,0.5,0.5,1.0,1
258463,2007-06-28,England,West Indies,Kennington Oval,1472.43,1500.0,-27.57,0.0,0.5,0.25,0.5,0.25,0.5,-0.25,-0.25,157.0,145.0,152.75,145.0,4.25,0.5,0,145.0,0.5,0,0.5,0.5,0.0,0
258464,2007-06-29,England,West Indies,Kennington Oval,1459.54,1512.89,-53.35,0.0,1.0,0.2,1.0,0.2,1.0,-0.8,-0.8,164.2,208.0,163.8,193.0,-14.6,0.0,1,145.0,0.5,0,0.5,0.5,0.0,1
306987,2007-09-01,Kenya,Bangladesh,Gymkhana Club Ground,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,145.0,145.0,145.0,145.0,0.0,0.5,0,145.0,0.5,0,0.5,0.5,0.0,0
